景点名称,景区评级,地点,标签列表,热度值,评分,评价数量
太行大峡谷滑翔伞热气球体验,,林州,滑翔伞,1.6,5,6条点评
广阔天地大有作为纪念馆,,郏县,登高爬山,1.6,4.4,28条点评
广阔天地大有作为纪念馆,,郏县,,1.6,,28条点评
中国龙隐,,汝阳,登高爬山,1.6,4.4,32条点评
清园,,新乡,,1.6,,
鸿图山庄,,辉县,,1.6,,
大别山银杏生态文化公园,,新县,"金色辉煌的千年银杏树群, 自然山水",1.6,4.7,17条点评
步步高,,周口,,1.6,,
洪山寨,,潢川,,1.6,1,1条点评
荆山黄帝陵,,灵宝,了解悠久的中华文化,1.6,4.5,22条点评
郑州 · 喜剧大赏《星光喜乐会》,,郑州,演出,,,
荆山黄帝铸鼎原,,灵宝,历史建筑,1.6,2,6条点评
河南省图书馆,,郑州,夜游观景,1.6,5,18条点评
河南省图书馆,,郑州,,1.6,5,18条点评
洛邑古城洛阳市老城区,,新乡县,,1.6,,
报晓峰,,信阳,,1.6,,
铁塔景区牌坊,,开封,,1.6,5,1条点评
许都公园,,许昌,夜游观景,1.6,4.5,69条点评
东方神话水上乐园,,周口,水上乐园&水世界,1.6,,
马鞍垴,,林州,登高爬山,1.6,,
青龙背,,鲁山,,1.6,4.7,3条点评
琵琶湖,,遂平,,1.6,5,2条点评
林州市人民公园,,林州,公园&植物园,1.6,4.7,68条点评
漯河森林公园,4A,漯河,"休闲散步的好去处, 公园&植物园",1.6,4.6,10条点评
漯河森林公园,,漯河,"休闲散步的好去处, 公园&植物园",1.6,4.6,10条点评
神灵寨滑雪场,,洛宁,"内有五千平米的嬉雪区, 户外滑雪",1.5,4,21条点评
老龙窝,,栾川,,1.6,,
波斯湾水上乐园,,伊川,遛娃宝藏地,1.6,4.9,24条点评
黄河丹峡,4A,渑池,"看当年海浪冲刷留下的石印, 自然山水",1.6,3.8,47条点评
老界岭避暑山庄房车露营地,,西峡,,1.6,,
大别山陶艺园(老缸窑),,固始,近三年新开,1.7,,
梦幻动物园,,新密,动物园&水族馆,1.6,1,1条点评
天爷洞,4A,新密,自然山水,1.6,5,2条点评
杜甫陵园,,巩义,,1.6,4.6,30条点评
鼓楼,,开封,博物馆&展馆,1.6,4.6,37条点评
鼓楼,,开封,,1.6,,
滨河国际游泳健身,,郑州,,1.6,,
夏邑县长寿阁,,夏邑,,1.6,,
大运河国家文化公园,,新乡,,1.6,,
朝花惜时汉服体验馆,,开封,,1.6,,
嵩山地质博物馆,,登封,博物馆&展馆,1.6,4.6,37条点评
豫见向上游泳馆,,新郑,"近两年新开, 随买随用",1.6,,
灞陵公园,,许昌,公园&植物园,1.6,5,1条点评
花都(洛阳)旅游集散中心,,洛阳,,1.6,,
周山森林公园,,洛阳,自然山水,1.6,3.5,2条点评
梦桃源水上乐园(梦桃源),,洛阳,水上乐园&水世界,1.6,4.3,22条点评
梦桃源水上乐园(梦桃源),,洛阳,水上乐园&水世界,1.6,,
宁陵万亩梨园景区,,宁陵,万亩梨园，花开壮阔如海,1.6,4.3,22条点评
是个喜剧(油化厂创意园店),,郑州,,1.6,,
田铺大塆创客小镇,,新县,,1.6,5,1条点评
抓鱼摸虾,,辉县,,1.6,,
铁塔景区-铁塔文物陈列馆,,开封,,1.6,,
伏羲古镇,,新密,,1.6,,
九里落雁湖,,罗山,自然山水,1.6,,
春秋广场,,许昌,"因其与春秋楼相邻而得名, 地标观景",1.6,4.2,41条点评
沁阳北大寺,,沁阳,历史建筑,1.6,4.7,3条点评
郑州大剧院戏曲厅,,郑州,演出,1.6,4,2条点评
郑州大剧院戏曲厅,,郑州,演出,1.6,,
董寨鸟类保护区白冠长尾雉拍摄基地,,罗山,,1.6,,
玉皇顶索道,,嵩县,,1.6,,
确山竹沟彩云谷,,确山,登高爬山,1.6,4,2条点评
关宅,,许昌,,1.6,4,1条点评
院里树下露营地,,新密,,1.6,,
2026 民权马拉松,,民权,赛事,1.8,,
信阳黑龙潭瀑布,,信阳,,1.6,,
漳河小三峡,,安阳县,,1.6,,
开封新区规划馆,,开封,"了解开封灿烂的历史文化, 特色展馆",1.6,4.4,8条点评
天健湖公园,,郑州,公园&植物园,1.6,5,4条点评
天健湖公园,,郑州,公园&植物园,1.6,5,4条点评
新安万山湖始祖山风景区,,新安,"北国少见的山光水色, 自然山水",1.6,5,4条点评
森林野生动物园,,周口,动物园&水族馆,1.6,,
茅津古渡(会兴渡口),,三门峡,历史建筑,1.6,5,9条点评
红庙学校,,中牟,,1.6,,
北魏水泉石窟,,洛阳,历史建筑,1.6,,
八卦阵迷宫,,巩义,,1.6,,
易容变身馆,,中牟,"十分钟重启人生, 特色展馆",1.6,,
滴翠河景区,,栾川,,1.6,,
黑毛沟水库,,驻马店,,1.6,,
归真台,,辉县,"规模宏大，碑刻佛雕众多, 历史建筑",1.6,5,1条点评
归真台,,辉县,,1.6,,
玄武门城墙,,洛阳,,1.6,,
神农山仙神谷,,沁阳,,1.6,,
周口国防园,,周口,,1.6,5,1条点评
香泉寺,,卫辉,"规模宏大，碑刻佛雕众多, 历史建筑",1.6,5,3条点评
滨河公园,,郑州,公园&植物园,1.6,5,1条点评
新密老城,,新密,城市漫步,1.6,,
万亩荷花生态园,,范县,,1.6,3,2条点评
李馆地道战旧址,,民权,历史建筑,1.6,,
鹤壁风车天路起始点,,淇县,,1.6,,
花园口黄河大堤口门界碑,,郑州,特色展馆,1.6,5,1条点评
花园口黄河大堤口门界碑,,郑州,,1.6,,
赊店酒乡小镇,,社旗,近三年新开,1.6,5,1条点评
洛阳帝王史馆,,洛阳,特色展馆,1.6,4.6,19条点评
腾龙洞,,灵宝,,1.6,,
郑州美术馆(瑞达路馆),,郑州,"观赏中外优秀的美术作品, 特色展馆",1.6,4.3,35条点评
遇见南山野孩子公园,,洛阳,游乐场,1.6,5,1条点评
洛阳农博园,,洛阳,"三星牡丹观赏园, 自然山水",1.6,4,16条点评
法海寺景区,,新乡,历史建筑,1.6,,
革命圣地西柏坡,,临颍,,1.6,,
郑韩故城(宫城遗址),,新郑,,1.6,,
新乡市体育中心,,新乡,场馆展馆,1.6,4.3,25条点评
新乡市体育中心,,新乡,场馆展馆,1.6,4.3,25条点评
黄鹿山绿岛半岛秘境度假中心,,洛阳,,1.6,,
荆轲塚(AA景区),,淇县,历史建筑,1.6,,
开封美术馆,,开封,博物馆&展馆,1.6,,
红岩绝壁,,修武,登高爬山,1.6,4.6,63条点评
隋唐大运河遗址,,夏邑,,1.6,,
再见三国,,许昌,,1.6,,
绿博园站-北广场,,中牟,,1.6,,
凯撒皇宫,,西峡,,1.6,,
安阳航空科普馆,,安阳县,,1.6,5,1条点评
碑坛,,开封,地标观景,1.6,5,1条点评
碑坛,,开封,地标观景,1.6,5,1条点评
天碑,,新安,自然山水,1.6,,
宝津楼,,开封,历史建筑,1.5,4.6,31条点评
西北湖湿地公园,,开封,,1.6,,
白云湖,,嵩县,自然山水,1.6,4,1条点评
三门峡瓮城瀑布景区,,卢氏,自然山水,1.6,5,1条点评
飞龙瀑,,辉县,,1.6,,
青龙湖景区,,封丘,自然山水,1.6,,
郑州纺织工业遗址博物馆,,郑州,博物馆&展馆,1.6,4,2条点评
老界岭景区-伏牛山神,,西峡,,1.6,,
安阳古城东南角楼,,安阳,自然山水,1.6,3,1条点评
安阳古城东南角楼,,安阳,,1.6,,
常香玉故居,,巩义,,1.6,3,1条点评
王城春早牡丹观赏区,,洛阳,,1.6,,
飞越郑州,,郑州,,1.6,5,2条点评
许昌市魏都区文化馆青少年管乐团,,许昌,,1.6,,
白沙水库(大门),,禹州,自然山水,1.6,4.8,28条点评
班家小镇,,濮阳,,1.6,,
洛阳古城欢乐王国,,洛阳,,1.6,,
如意湖文化广场,,郑州,,1.6,,
沙颍半岛风景区,,西华,露营·营地,1.6,,
河南非遗体验馆,,郑州,特色展馆,1.6,5,1条点评
河南非遗体验馆,,郑州,特色展馆,1.6,,
大虞春秋文化产业园,,虞城,,1.6,,
铜驼暮雨,,洛阳,城市漫步,1.6,,1条点评
民权国家森林公园,,民权,自然山水,1.5,5,1条点评
镇国塔,,卫辉,历史建筑,1.6,4.8,6条点评
达摩院,,登封,达摩祖师修禅之地,1.6,4.7,36条点评
净土寺,,邓州,,1.6,,
浮生集汉服妆造馆,,开封,,1.6,,
郑州 · 脏手指2025-2026新专辑巡演 (Part2),,郑州,,1.6,,
五指岭1088星空露营地,,巩义,,1.6,,
玉皇顶,,栾川,历史建筑,1.6,1,1条点评
玉皇顶,,栾川,,1.6,1,1条点评
阿斗寨,,鹤壁,历史建筑,1.6,,
郑铁体育中心-体育馆,,郑州,,1.6,,
河南省鹿邑县长军古陶瓷博物馆,,鹿邑,博物馆&展馆,1.6,5,2条点评
宿鸭湖游览区,,汝南,,1.5,,
驻马店市人民公园,,驻马店,夜游观景,1.6,4.3,9条点评
卫辉市博物馆,,卫辉,博物馆&展馆,1.6,5,1条点评
太保家园(郑州)国际颐养社区项目部,,中牟,,1.6,,
亮宝台,,栾川,,1.6,,
五峰山林海,,辉县,登高爬山,1.6,4,1条点评
白鹭洲国家城市湿地公园,,平顶山,自然山水,1.6,4.5,2条点评
白鹭洲国家城市湿地公园,,平顶山,自然山水,1.6,4.5,2条点评
和园,,泌阳,,1.6,,
法行寺,,汝州,历史建筑,1.6,3,1条点评
太康文庙,,太康,历史建筑,1.6,5,3条点评
西山谷水,,卫辉,,1.6,,
大底小长城红叶,,博爱,,1.6,5,1条点评
老君山景区-上站,,栾川,,1.6,,
太极全域剧场,,温县,演出,1.6,5,1条点评
中流砥柱博物馆,,三门峡,博物馆&展馆,1.6,,
环城墙主题公园,,开封,,1.6,5,1条点评
西府海棠,,巩义,博物馆&展馆,1.6,5,1条点评
西府海棠,,巩义,,1.6,,
栾川县奇石博物馆,,栾川,博物馆&展馆,1.6,5,1条点评
胖东来时代广场电玩城,,许昌,,1.6,,
漯河中州抗战纪念馆,,漯河,,1.6,,6条点评
中原矩阵冒险家营地,,新郑,,1.6,,
中原影视城,,荥阳,"影视剧《焦裕禄》的取景地, 影视基地",1.6,3.2,120条点评
定鼎门南广场,,洛阳,,1.6,,
玉京温泉,,鲁山,"交通便利、环境优美, 泡温泉",1.6,5,76条点评
娲皇谷旅游度假区,,济源,,1.6,,
凤凰山森林公园,,新乡,登高爬山,1.5,3.5,2条点评
固始县小南海观音寺,,固始,历史建筑,1.6,2.7,9条点评
固始县小南海观音寺,,固始,历史建筑,1.6,,
扬州搓背馆(洛阳店),,洛阳,,1.6,,
朱仙古镇风情,,开封,,1.6,,
老君山汉服体验店,,栾川,,1.6,,
巩义窑址,,巩义,历史建筑,1.6,2.7,9条点评
梁园,,开封,公园&植物园,1.6,,
黄河马渡水利风景区,,郑州,,1.6,,
中国·洛阳亚龙湾游乐园,,洛阳,,1.5,,
张沟村文化广场,,登封,,1.6,,
伊尹祠,,虞城,,1.6,4.3,8条点评
豫西抗日根据地纪念馆,,巩义,地标观景,1.6,3.5,4条点评
豫西抗日根据地纪念馆,,巩义,,1.6,,
关林站-站前广场,,洛阳,地标观景,1.5,3.5,4条点评
东西湖风景区,,淮滨,,1.6,,
新野县博物馆,,新野,博物馆&展馆,1.5,5,2条点评
明福寺塔,,滑县,历史建筑,1.5,,
沙河国家湿地公园,,漯河,"滩涂广阔、候鸟云集, 自然山水",1.6,4.8,6条点评
沙家浜,,舞阳,,1.6,,
仙门山峡谷漂流,,渑池,,1.6,,
漏明崖景区,,新安,登高爬山,1.6,4.5,4条点评
浚县县衙-文庙,,浚县,,1.6,,
千稼集生态乐园,,新郑,游乐场,1.5,4.3,3条点评
千稼集生态乐园,,新郑,游乐场,1.5,,
开封东京极地海洋馆-儿童乐园,,开封,,1.6,,
翡翠湖,,西峡,,1.6,,
护城河,,许昌,自然山水,1.6,4.3,3条点评
马踏飞燕,,禹州,,1.5,,
大雄宝殿,,洛阳,历史建筑,1.5,5,2条点评
黄河滩,,原阳,自然山水,1.5,,
贵妃苑,,许昌,公园&植物园,1.5,4.4,21条点评
清丰县火车站,,清丰,,1.6,,
洞林湖国际旅游度假区,,荥阳,"可垂钓、划船, 自然山水",1.5,4.3,62条点评
哪吒故里,,西峡,历史建筑,1.5,4,1条点评
哪吒故里,,西峡,历史建筑,1.5,4,1条点评
西平县棠溪宝剑博物馆,,西平,博物馆&展馆,1.5,,
惕龙潭,,新密,,1.6,,
唐恭陵,,洛阳,,1.5,4,2条点评
三山森林溪谷温泉,,荥阳,"户外露天温泉夜晚灯光迷人, 泡温泉",1.6,4,28条点评
大别山革命红色文化博物馆,,固始,博物馆&展馆,1.5,,
贤山,,信阳,登高爬山,1.6,5,27条点评
淇县博物馆,,淇县,博物馆&展馆,1.6,,
鹿台遗址,,鹤壁,,1.5,,
花果山漂流,,开封,,1.5,,
马街书会,,宝丰,滑翔伞,1.5,5,1条点评
马街书会,,宝丰,,1.5,,
黄龙峡风景区,,洛阳,,1.5,,
兰考四面红旗纪念馆,,兰考,,1.5,,1条点评
河南沈丘沙颍河省级湿地公园,,沈丘,,1.5,,
具茨山滑翔伞飞行营地,,新郑,滑翔伞,1.5,5,2条点评
刘禹锡墓,,荥阳,了解刘禹锡的生平事迹,1.6,5,7条点评
永昭陵-南门广场,,巩义,,1.5,,
禹州森林植物园,,禹州,"有国内外植物1200多种, 植物园",1.5,4.7,64条点评
侯府,,商丘,历史建筑,1.5,5,21条点评
宝泉彩虹街,,辉县,城市漫步,1.5,,
息州森林公园,,息县,自然山水,1.5,4.7,3条点评
息州森林公园,,息县,自然山水,1.5,,
商丘民权王公庄文化旅游景区,,民权,,1.6,,
安阳民俗博物馆,,安阳,博物馆&展馆,1.5,,
观光火车,,郑州,,1.5,,
达摩像,,登封,,1.5,,
金明广场,,开封,地标观景,1.5,4.7,3条点评
灵官殿,,栾川,,1.5,,
明珠湖公园,,邓州,公园&植物园,1.5,4.8,4条点评
炼真宫,,方城,,1.5,5,1条点评
五道潭,,嵩县,,1.5,4.7,3条点评
巩义小三亚,,巩义,动物园&水族馆,1.5,5,1条点评
巩义小三亚,,巩义,,1.5,5,1条点评
里山明月,,巩义,,1.6,,
青年宫广场,,洛阳,,1.5,,
奇妙海底世界(正弘生活广场店),,郑州,动物园&水族馆,1.6,5,1条点评
黄河谷马拉湾海浪浴场,,郑州,水上乐园&水世界,1.5,4.7,23条点评
桃花湾瀑布,,辉县,自然山水,1.5,,
樱花园,,郑州,公园&植物园,1.5,5,5条点评
燃灯寺,,西峡,历史建筑,1.6,3.3,3条点评
航天航空科技馆,,周口,科技馆,1.5,,
永城市博物馆,,永城,博物馆&展馆,1.5,5,2条点评
丹江孔雀谷,,淅川,"观看不同花色的华美孔雀, 动物园&水族馆",1.5,1,3条点评
丹江孔雀谷,,淅川,"观看不同花色的华美孔雀, 动物园&水族馆",1.5,1,3条点评
老鸦岔,,灵宝,登高爬山,1.5,,
茗阳阁,,信阳,,1.5,5,1条点评
大浪口传统村落,,长垣,古镇古村,1.5,,
乐嗨亲子基地,,漯河,,1.5,,
洛河漕运文化公园,,洛阳,公园&植物园,1.5,,
圣寿寺塔,,睢县,历史建筑,1.5,3,14条点评
新郑龙湖城市湿地公园,,新郑,自然山水,1.5,4,1条点评
孔子还乡祠,,夏邑,,1.5,,
建安文化广场(胖东来天使城店),,许昌,,1.5,,
霍去病墓,,邓州,"中原野奢新标杆, 露营·营地",1.5,4,1条点评
霍去病墓,,邓州,,1.5,,
平顶山海悦汤泉生活馆,,平顶山,,1.5,,
水善汇(新象城店),,郑州,,1.5,4,1条点评
羊山森林植物园,,信阳,,1.5,3.7,3条点评
郑州园博园·溪上露营地,,新郑,"中原野奢新标杆, 露营·营地",1.5,,
南召宝天曼天河冲浪,,南召,感受360度的冲浪刺激,1.5,5,4条点评
钟鼓楼,,三门峡,历史建筑,1.5,4,1条点评
归德府文庙,,商丘,,1.5,2.5,2条点评
星期8小镇,,长垣,儿童乐园,1.5,3.5,11条点评
洛阳天香牡丹园,,洛阳,公园&植物园,1.5,4.9,10条点评
南乐文庙,,南乐,历史建筑,1.5,4.7,4条点评
南乐文庙,,南乐,历史建筑,1.5,4.7,4条点评
人民公园,,焦作,乘船游览,1.5,4.8,16条点评
龙门石窟-鱼跃龙门,,洛阳,,1.5,,
彼岸寺塔,,漯河,"经幢造型优美，雕工精湛, 历史建筑",1.5,4.5,34条点评
大风车无动力乐园,,洛阳,儿童乐园,1.5,,
龙门二十品,,洛阳,"北魏精选二十块造像题记, 历史建筑",1.5,4.4,54条点评
金牛湖湿地公园,,兰考,,1.5,,
豫园,,中牟,,1.5,,
河南省沈丘县博物馆,,沈丘,博物馆&展馆,1.5,,
补天阁,,新密,,1.5,,
虎牢关碑,,荥阳,可亲身参与大宋科举考场,1.5,4.9,35条点评
虎牢关碑,,荥阳,,1.5,,
陈胡公祠,,周口,,1.5,,
四方院,,开封,可亲身参与大宋科举考场,1.5,,
项城公园,,项城,"内有益智迷宫, 公园&植物园",1.5,4.9,35条点评
日寇飞机库遗址,,新乡,,1.5,,
广成苑温泉度假区,,汝阳,,1.6,,
葛天源风景区,,长葛,"以音乐为主题的旅游度假区, 度假村",1.5,5,16条点评
金阙云宫,,登封,历史建筑,1.4,,
日月星石,,辉县,自然山水,1.5,3.8,7条点评
春秋楼遗址,,社旗,历史建筑,1.5,4.4,9条点评
太行天路游览第二观景台,,林州,地标观景,1.5,4.9,7条点评
太行天路游览第二观景台,,林州,,1.5,,
黄河广场,,漯河,地标观景,1.5,4.9,7条点评
隋唐城遗址植物园-九色牡丹园,,洛阳,公园&植物园,1.5,5,2条点评
周口市大程书院,,扶沟,历史建筑,1.5,4,1条点评
连宝河大峡谷,,洛宁,自然山水,1.5,1,1条点评
开封国家森林公园,,开封,"湖岸幽静绿树成荫的休闲地, 公园&植物园",1.5,4.4,27条点评
驻马店国际会展中心,,驻马店,场馆展馆,1.5,,
十八拐观景台,,辉县,,1.5,,
大禹像,,郑州,,1.5,,
刘老根大舞台(商鼎路店),,郑州,,1.5,4.4,33条点评
绿荫公园,,郑州,"园内种满了各色花木, 公园&植物园",1.5,4.3,67条点评
绿荫公园,,郑州,"园内种满了各色花木, 公园&植物园",1.5,4.3,67条点评
洛阳市图书馆,,洛阳,,1.5,,
嵩山国家风景名胜区-法王寺塔,,登封,,1.5,,
中原楚系青铜,,郑州,特色展馆,1.5,,
草原探险基地,,新密,,1.5,1,1条点评
民权庄子文化馆,,民权,,1.5,5,1条点评
济水之源文化旅游区·牡丹园,,济源,公园&植物园,1.5,5,4条点评
山水隐庐·半湾浅野湿地露营基地,,嵩县,,1.5,,
黄帝千古情剧场,,新郑,,1.5,,
佳宝小镇,,新密,城市漫步,1.5,,
青天河风景区-天井关漂流,,博爱,自然山水,1.5,4.7,9条点评
青天河风景区-天井关漂流,,博爱,,1.5,,
中灵山茅草庵,,登封,,1.5,,
桂林园,,中牟,,1.5,4.7,9条点评
龙潭河景区,,桐柏,自然山水,1.5,,
王屋山-王者之山,,济源,,1.5,5,2条点评
凤鸣谷风景区,,遂平,登高爬山,1.5,,
清水苑游泳馆,,郑州,,1.5,,
袁家山,,睢县,登高爬山,1.5,5,5条点评
精忠岳庙,,兰考,,1.5,,
临颍县杨再兴纪念馆,,漯河,仿宋建筑，园内古柏苍翠,1.5,3.8,21条点评
宝泉帐篷营地,,辉县,历史建筑,1.5,4,32条点评
宝泉帐篷营地,,辉县,,1.5,,
鹿鸣山风景区,,南召,,1.5,,
杨靖宇将军旧居,,驻马店,历史建筑,,,
昭平湖森林温泉,,鲁山,遛娃宝藏地,1.5,4,32条点评
水乐汇温泉生活馆,,洛阳,,1.5,,
昭平湖,,鲁山,"碧水连天，周围峰峦叠翠, 自然山水",1.5,3,17条点评
定国寺,,安阳县,历史建筑,1.5,5,8条点评
鹤鸣峡风景区,,伊川,"奇险，幽美的自然峡谷, 自然山水",1.5,4,29条点评
车自驾车营地,,洛阳,,1.5,,
神垕钧瓷文化主题公园,,禹州,,1.5,,
莲鹤方壶,,新郑,博物馆&展馆,1.5,4.5,2条点评
莲鹤方壶,,新郑,,1.5,,
沁阳博物馆,,沁阳,博物馆&展馆,1.5,4.5,2条点评
陈家大院,,商丘,,1.5,,
包拯陵园,,巩义,,1.5,,
小南海古庙,,安阳,,1.5,,
老母洞,,登封,"依山势而建的千年道观, 历史建筑",1.5,5,22条点评
清音阁汉服体验馆(洛阳店),,洛阳,,1.5,,
南阳大剧院,,南阳,演出,1.5,1,1条点评
淮阳区平粮台古城遗址博物馆,,周口,博物馆&展馆,1.5,,
大浪淘沙,,焦作,,1.5,,
地坑院,,孟州,公园&植物园,1.5,4.4,5条点评
地坑院,,孟州,,1.5,,
建安区北海公园,,许昌,公园&植物园,1.5,4.4,5条点评
清真女寺(后阜民里),,郑州,,1.5,,
杜康仙庄,,汝阳,历史建筑,1.5,5,30条点评
根亲博物馆,,固始,博物馆&展馆,1.5,4.5,2条点评
洞天瀑,,栾川,自然山水,1.5,,
九龙山风景区,,栾川,登高爬山,1.5,,
伊水游园,,洛阳,,1.5,5,1条点评
钟鼓两楼,,开封,,1.5,,
承大旅游山庄-小浪底观景台,,洛阳,,1.5,5,1条点评
古赖国文化园,,息县,游乐场,1.5,4.4,35条点评
古赖国文化园,,息县,,1.5,,
室内儿童主题亲子乐园(王府井百货中州中路店),,洛阳,游乐场,1.5,,
爱丽丝欢乐园,,新乡,遛娃宝藏地,1.5,4.4,35条点评
太行大峡谷景区-谷文昌纪念馆,,林州,,1.5,,2条点评
人民广场,,郑州,地标观景,1.5,4.5,2条点评
宋岗旅游港,,淅川,,1.5,,
中灵山老母大殿,,洛阳,,1.5,,
帝喾陵,,商丘,历史建筑,1.5,4.3,34条点评
梦回大宋体验馆,,开封,,1.5,4,1条点评
地坑院玻璃天桥,,三门峡,站在桥上可远眺黄河,1.5,4.8,10条点评
焦作红峡谷温泉,,修武,"泡泉后享用新鲜农产品, 遛娃宝藏地",1.5,4.4,164条点评
焦作红峡谷温泉,,修武,"泡泉后享用新鲜农产品, 遛娃宝藏地",1.5,4.4,164条点评
白河,,新野,"古老河流贯穿城市, 自然山水",1.5,4,29条点评
龙床口瀑布,,林州,自然山水,1.5,,
洹水公园,,安阳,,1.5,,
顽皮猴体育公园,,南阳,,1.5,5,7条点评
舞阳县博物馆,,舞阳,博物馆&展馆,1.5,4.5,4条点评
大别山竹筏漂,,固始,自然山水,1.5,,
恐龙谷,,郑州,,1.5,,
林州一号国际滑翔基地,,林州,滑翔伞,1.5,,
神仙洞景区-鸡山三峰,,新密,,1.5,,
天主堂,,开封,历史建筑,1.5,3,1条点评
天主堂,,开封,,1.5,3,1条点评
潞泽会馆,,洛阳,历史建筑,1.5,5,1条点评
郑州奥体中心体育馆冰场,,郑州,,1.5,,
汴河虹桥遗址,,开封,,1.5,,
新华中州国际饭店-会议厅,,郑州,,1.5,,
七祖塔,,汝州,,1.5,5,2条点评
玉湖,,延津,,1.5,,
东汉洛阳明堂遗址,,洛阳,,1.5,,
苍岩山,,郑州,,1.5,,
许昌北站-站前广场,,许昌,地标观景,1.5,,
少林古兵器展览馆,,登封,遛娃宝藏地,1.5,4.6,47条点评
少林古兵器展览馆,,登封,遛娃宝藏地,1.5,4.6,47条点评
崤山,,卢氏,,1.5,,
回銮碑,,濮阳县,,1.5,4,1条点评
太极迷宫,,栾川,历史建筑,1.5,,
恐龙园,,中牟,,1.5,,
梯子沟,,登封,,1.5,4,2条点评
紫云书院,,襄城,历史建筑,1.5,3,1条点评
元象视界VR沉浸式剧场,,郑州,,1.5,,
红石峡,,鲁山,,1.5,,
大河古渡文化园,,洛阳,,1.5,3,2条点评
洧川南城门,,尉氏,历史建筑,1.5,5,1条点评
洧川南城门,,尉氏,,1.5,5,1条点评
大福先寺,,洛阳,历史建筑,1.5,4.8,16条点评
宝珠寺,,开封,"清静幽雅的宋清风格寺院, 历史建筑",1.5,4.2,37条点评
东湖游园,,许昌,,1.5,4.7,3条点评
飞龙潭(瀑),,新安,,1.5,,
郑州林俊杰手绘涂鸦墙,,郑州,,1.5,,
郑州大学(主校区)-图书馆,,郑州,,1.5,5,1条点评
平顶山蜘蛛山滑翔伞飞行基地,,舞钢,,1.5,5,4条点评
岳飞纪念馆,,汤阴,,1.5,,
睢县博物馆,,睢县,博物馆&展馆,1.5,5,1条点评
世界上最可怕的动物,,巩义,主题乐园&游乐场,1.5,4,1条点评
世界上最可怕的动物,,巩义,,1.5,,
梁祝游园,,驻马店,,1.5,,
儿童游乐场,,郑州,主题乐园&游乐场,1.5,4,1条点评
天主教河南总修院,,开封,中西合璧式的老建筑,1.5,5,14条点评
司马光小镇(司马光田园综合体),,光山,城市漫步,1.5,,
淇河森林公园,,鹤壁,,1.5,,
赤壁丹崖,,辉县,,1.5,,
滑县国家森林公园,,滑县,自然山水,1.5,,
儿童主题乐园,,洛阳,主题乐园&游乐场,1.5,,
安阳万意长风海洋探索馆,,安阳,亲近动物,1.5,4.6,47条点评
锦绣中原全景画馆,4A,郑州,博物馆&展馆,1.5,5,5条点评
锦绣中原全景画馆,,郑州,,1.5,5,5条点评
大香山国学文化园,,平顶山,,1.4,5,17条点评
天祥博物馆,,郑州,博物馆&展馆,1.5,4.5,2条点评
柘城县博物馆,,柘城,博物馆&展馆,1.5,5,1条点评
毛泽东同志故居,,临颍,,1.5,,
尉氏兴国寺塔,,尉氏,历史建筑,1.5,,
鄢陵五彩大地景区,4A,长葛,既可赏花摘果又可露营品茶,1.5,4.1,68条点评
重返侏罗纪vr体验馆,,安阳,,1.5,1,1条点评
豫西百草园,4A,卢氏,"植物众多，可认识草药花木, 公园&植物园",1.5,4.6,6条点评
清凉寺,,新郑,,1.5,,
首阳山,,洛阳,"绮丽风景融合炎黄文化之地, 登高爬山",1.5,1,6条点评
首阳山,,洛阳,,1.5,,
棠溪源国家森林公园,,西平,"绮丽风景融合炎黄文化之地, 登高爬山",1.5,1,6条点评
九洲池儿童亲子乐园,,洛阳,主题乐园&游乐场,1.5,,
麒麟湖风景区,,南阳,自然山水,1.5,,
安阳林州滑翔伞飞行营地,,林州,,1.5,,
友兰湿地公园,,唐河,自然山水,1.5,5,1条点评
欢乐谷水世界,,郑州,,1.5,,
莲花公园,,郑州,公园&植物园,1.5,4.6,14条点评
雁鸣湖通航机场飞行体验中心,,中牟,飞行体验,1.5,4.3,6条点评
西九华山景区-留梦河谷,,固始,自然山水,1.5,,
千唐志斋-西沃石窟,,新安,博物馆&展馆,1.5,5,1条点评
千唐志斋-西沃石窟,,新安,,1.5,,
河南戏曲声音博物馆,,郑州,博物馆&展馆,1.5,5,1条点评
上八里镇马头口村景观园,,辉县,,1.4,,
白居易文化园,,新郑,,1.5,,
有洗汤泉,,信阳,,1.5,5,1条点评
殷商皇陵,,安阳,,1.5,,
汤泉良子(涧西店),,洛阳,,1.5,,
裴李岗遗址,,新郑,历史建筑,1.5,1,6条点评
清卿泉汤泉,,郑州,随买随用,1.5,5,1条点评
龙岗欢乐世界,,鹤壁,,1.5,,
十里红枫观光园,,上蔡,城市漫步,1.5,5,1条点评
十里红枫观光园,,上蔡,,1.5,,
芝麻街1958双创园,,郑州,城市漫步,1.5,5,1条点评
桥北天河大草原-露营地,,原阳,,1.5,,
仪门,,开封,,1.4,5,1条点评
鲁山米奇王国动物园,,鲁山,动物园&水族馆,1.5,,
虢国植物园,,三门峡,,1.5,4.9,33条点评
归零文化村,,南阳,,1.5,4,1条点评
沙滩公园,,郑州,,1.5,,
大明河游乐园,,信阳,游乐场,1.5,,
北湖沙滩,,信阳,海滩&岛屿,1.5,5,1条点评
睡仙桥-露营地,,信阳,园林花园,1.5,5,1条点评
睡仙桥-露营地,,信阳,,1.5,,
太行盆景园,,焦作,园林花园,1.5,5,1条点评
